topic_id,cluster,proposed_title,search_intent,target_reader,primary_keyword,related_keywords,recommended_article_type,difficulty_level,funnel_stage,unique_angle,suggested_internal_link,suggested_call_to_action,featured_snippet_opportunity,expert_review_or_source
"BEG-06","Beginner puzzle explanations","Work backward from a single target","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Work backward from a single target” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"BEG-07","Beginner puzzle explanations","Write one sentence for each clue","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Write one sentence for each clue” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"BEG-08","Beginner puzzle explanations","A beginner's first ten reasoning puzzles","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “A beginner's first ten reasoning puzzles” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"INT-01","Intermediate puzzle explanations","Two-step conditional logic","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Two-step conditional logic” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-02","Intermediate puzzle explanations","Sequence rules that alternate operations","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Sequence rules that alternate operations” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-03","Intermediate puzzle explanations","Combining a table with a short paragraph","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Combining a table with a short paragraph” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-04","Intermediate puzzle explanations","Spatial transformations with two turns","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Spatial transformations with two turns” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-05","Intermediate puzzle explanations","Analogies with category and function clues","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Analogies with category and function clues” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-06","Intermediate puzzle explanations","Numerical word problems with hidden units","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Numerical word problems with hidden units” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-07","Intermediate puzzle explanations","Choosing between two close answer options","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Choosing between two close answer options” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"INT-08","Intermediate puzzle explanations","Intermediate reasoning practice with full walkthroughs","Learning","Learners ready for multiple constraints","intermediate reasoning puzzles","two-step logic|mixed patterns|constraint puzzles","Deep walkthrough","Intermediate","Learn","Combine two representations and explain each transition. Focus the article on “Intermediate reasoning practice with full walkthroughs” and include an original example or check.","/articles/reasoning-categories-explained","Read the worked puzzle guide","Yes: method comparison","Editorial review; solve independently"
"ADV-01","Advanced puzzle explanations","Proving a multi-constraint logic answer","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Proving a multi-constraint logic answer” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-02","Advanced puzzle explanations","Nested conditions in advanced reasoning","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Nested conditions in advanced reasoning” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-03","Advanced puzzle explanations","Detecting a rule that fails at one edge case","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Detecting a rule that fails at one edge case” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-04","Advanced puzzle explanations","Advanced sequence puzzles with two interacting patterns","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Advanced sequence puzzles with two interacting patterns” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-05","Advanced puzzle explanations","Multi-stage spatial transformations","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Multi-stage spatial transformations” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-06","Advanced puzzle explanations","Deduction when several answers seem possible","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Deduction when several answers seem possible” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-07","Advanced puzzle explanations","Constraint satisfaction without trial and error","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “Constraint satisfaction without trial and error” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"ADV-08","Advanced puzzle explanations","An advanced mixed reasoning challenge with a proof","Learning","Experienced puzzle solvers","advanced logic puzzles","multi-constraint reasoning|proof puzzles|edge cases","Advanced walkthrough","Advanced","Learn","Make advanced deductions auditable instead of relying on trial and error. Focus the article on “An advanced mixed reasoning challenge with a proof” and include an original example or check.","/score-guide","Read the score guide for context","Yes: proof or algorithm steps","Editorial review; no claims about intelligence"
"WRK-01","Step-by-step worked examples","Worked example: a must-be-true puzzle","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: a must-be-true puzzle” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-02","Step-by-step worked examples","Worked example: an alternating number pattern","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: an alternating number pattern” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-03","Step-by-step worked examples","Worked example: a ratio and percentage question","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: a ratio and percentage question” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-04","Step-by-step worked examples","Worked example: a mental rotation problem","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: a mental rotation problem” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-05","Step-by-step worked examples","Worked example: a word analogy","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: a word analogy” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-06","Step-by-step worked examples","Worked example: an ordering schedule","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: an ordering schedule” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-07","Step-by-step worked examples","Worked example: an error analysis after a wrong answer","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: an error analysis after a wrong answer” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"WRK-08","Step-by-step worked examples","Worked example: compare two valid solution methods","Practice","Readers who learn by seeing a solution","worked reasoning examples","step-by-step puzzles|explained answers|reasoning walkthrough","Worked example","Intermediate","Practise","Show a correct path, a tempting wrong path, and a check. Focus the article on “Worked example: compare two valid solution methods” and include an original example or check.","/articles/reasoning-categories-explained","Study more worked examples","Yes: numbered solution","Editorial check; verify every answer"
"MIS-01","Common reasoning mistakes","Reading too quickly: the most common reasoning error","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Reading too quickly: the most common reasoning error” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-02","Common reasoning mistakes","Choosing a pattern before checking all terms","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Choosing a pattern before checking all terms” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-03","Common reasoning mistakes","Confusing “could” with “must”","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Confusing “could” with “must”” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-04","Common reasoning mistakes","Doing arithmetic in your head without a check","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Doing arithmetic in your head without a check” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-05","Common reasoning mistakes","Rotating the wrong object in a spatial puzzle","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Rotating the wrong object in a spatial puzzle” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-06","Common reasoning mistakes","Letting a familiar word bias a verbal answer","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Letting a familiar word bias a verbal answer” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-07","Common reasoning mistakes","Changing a correct answer without new evidence","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “Changing a correct answer without new evidence” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"MIS-08","Common reasoning mistakes","How to review a wrong answer productively","Learning","Readers reviewing wrong answers","common reasoning mistakes","test mistakes|careless errors|puzzle review","Diagnostic guide","Beginner","Learn","Turn a specific mistake into a repeatable checking habit. Focus the article on “How to review a wrong answer productively” and include an original example or check.","/score-guide","Use the score guide to review","Yes: mistake and fix table","Editorial check; avoid blame"
"SOL-01","Problem-solving methods","A repeatable five-step problem-solving loop","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “A repeatable five-step problem-solving loop” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-02","Problem-solving methods","How to choose a representation for a puzzle","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “How to choose a representation for a puzzle” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-03","Problem-solving methods","When a table is better than a paragraph","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “When a table is better than a paragraph” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-04","Problem-solving methods","Estimation as a check, not a guess","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “Estimation as a check, not a guess” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-05","Problem-solving methods","Break a hard problem into smaller claims","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “Break a hard problem into smaller claims” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-06","Problem-solving methods","Compare strategies by reliability","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “Compare strategies by reliability” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-07","Problem-solving methods","How to explain your solution so another person can check it","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “How to explain your solution so another person can check it” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"SOL-08","Problem-solving methods","From stuck to started: prompts that unblock reasoning","Learning","Students and self-directed learners","problem solving strategies","reasoning methods|puzzle strategy|critical thinking practice","Method guide","Intermediate","Learn","Choose a representation and a checking method deliberately. Focus the article on “From stuck to started: prompts that unblock reasoning” and include an original example or check.","/how-it-works","See the full reasoning flow","Yes: five-step method","Editorial review; cite only factual claims"
"PRE-01","Preparing for reasoning tests","A fair ten-minute reasoning test routine","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “A fair ten-minute reasoning test routine” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-02","Preparing for reasoning tests","How to practise without memorising answers","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “How to practise without memorising answers” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-03","Preparing for reasoning tests","Set up a quiet and accessible test environment","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “Set up a quiet and accessible test environment” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-04","Preparing for reasoning tests","What to do when a question feels ambiguous","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “What to do when a question feels ambiguous” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-05","Preparing for reasoning tests","How to pace fifteen questions without rushing","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “How to pace fifteen questions without rushing” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-06","Preparing for reasoning tests","A review plan for the day after a test","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “A review plan for the day after a test” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-07","Preparing for reasoning tests","Preparing for a reasoning test in a second language","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “Preparing for a reasoning test in a second language” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"PRE-08","Preparing for reasoning tests","A checklist for a calm first attempt","Practical","People preparing for a fair attempt","how to prepare for a reasoning test","test preparation|practice routine|calm test setup","Practical guide","Beginner","Practise","Improve preparation and familiarity without promising a higher IQ. Focus the article on “A checklist for a calm first attempt” and include an original example or check.","/articles/how-to-prepare-for-reasoning-test","Read the preparation guide","Yes: preparation checklist","Review health/accessibility wording"
"BTR-01","Brain-training activities","Brain-training activities that practise pattern noticing","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “Brain-training activities that practise pattern noticing” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-02","Brain-training activities","A paper-and-pencil logic habit for five minutes","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “A paper-and-pencil logic habit for five minutes” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-03","Brain-training activities","Number games that reinforce flexible calculation","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “Number games that reinforce flexible calculation” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-04","Brain-training activities","Spatial sketching exercises with household objects","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “Spatial sketching exercises with household objects” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-05","Brain-training activities","Explain-the-rule games for pairs","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “Explain-the-rule games for pairs” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-06","Brain-training activities","Memory and reasoning: what each activity actually practises","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “Memory and reasoning: what each activity actually practises” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-07","Brain-training activities","Turn a daily observation into a mini puzzle","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “Turn a daily observation into a mini puzzle” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"BTR-08","Brain-training activities","A weekly reasoning practice routine without apps","Activities","Readers seeking low-pressure practice","reasoning practice activities","brain games|paper puzzles|daily practice","Activity guide","Beginner","Return","Name the reasoning skill an activity practises without claiming brain gains. Focus the article on “A weekly reasoning practice routine without apps” and include an original example or check.","/articles","Browse reasoning articles","Yes: activity instructions","Source review for cognitive claims"
"FOC-01","Sleep, focus, language, and test conditions","How sleep and attention can shape a short test session","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “How sleep and attention can shape a short test session” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-02","Sleep, focus, language, and test conditions","Focus resets between reasoning questions","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “Focus resets between reasoning questions” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-03","Sleep, focus, language, and test conditions","Language familiarity and fair interpretation","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “Language familiarity and fair interpretation” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-04","Sleep, focus, language, and test conditions","Why practice familiarity changes later attempts","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “Why practice familiarity changes later attempts” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-05","Sleep, focus, language, and test conditions","Accessibility adjustments that support a fair attempt","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “Accessibility adjustments that support a fair attempt” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-06","Sleep, focus, language, and test conditions","Stress, time pressure, and careful reading","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “Stress, time pressure, and careful reading” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-07","Sleep, focus, language, and test conditions","How to record test conditions with your result","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “How to record test conditions with your result” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"FOC-08","Sleep, focus, language, and test conditions","When to pause and return to a practice session","Responsible testing","Readers interpreting a result fairly","factors affecting test performance","focus and reasoning|language familiarity|accessible testing","Evidence-aware guide","Beginner","Learn","Explain conditions that can influence one short attempt without diagnosing anyone. Focus the article on “When to pause and return to a practice session” and include an original example or check.","/score-guide","Read how to interpret a result","Yes: conditions checklist","Primary-source review for factual claims"
"SCO-01","Understanding estimated scores","Estimated IQ, percentile, and accuracy: what each means","Score literacy","Readers with a completed result","estimated IQ score explained","percentile meaning|accuracy|score interpretation","Score guide","Beginner","Learn","Use the site's transparent model and keep the number in context. Focus the article on “Estimated IQ, percentile, and accuracy: what each means” and include an original example or check.","/score-guide","Open the IQTestReal score guide","Yes: term definitions","Editorial and formula check"
"SCO-02","Understanding estimated scores","Why a percentile is not a permanent ranking","Score literacy","Readers with a completed result","estimated IQ score explained","percentile meaning|accuracy|score interpretation","Score guide","Beginner","Learn","Use the site's transparent model and keep the number in context. Focus the article on “Why a percentile is not a permanent ranking” and include an original example or check.","/score-guide","Open the IQTestReal score guide","Yes: term definitions","Editorial and formula check"
"SCO-03","Understanding estimated scores","How IQTestReal maps accuracy to an estimate","Score literacy","Readers with a completed result","estimated IQ score explained","percentile meaning|accuracy|score interpretation","Score guide","Beginner","Learn","Use the site's transparent model and keep the number in context. Focus the article on “How IQTestReal maps accuracy to an estimate” and include an original example or check.","/score-guide","Open the IQTestReal score guide","Yes: term definitions","Editorial and formula check"
"SCO-04","Understanding estimated scores","Category strengths with only a few questions","Score literacy","Readers with a completed result","estimated IQ score explained","percentile meaning|accuracy|score interpretation","Score guide","Beginner","Learn","Use the site's transparent model and keep the number in context. Focus the article on “Category strengths with only a few questions” and include an original example or check.","/score-guide","Open the IQTestReal score guide","Yes: term definitions","Editorial and formula check"
"SCO-05","Understanding estimated scores","Why two attempts can produce different results","Score literacy","Readers with a completed result","estimated IQ score explained","percentile meaning|accuracy|score interpretation","Score guide","Beginner","Learn","Use the site's transparent model and keep the number in context. Focus the article on “Why two attempts can produce different results” and include an original example or check.","/score-guide","Open the IQTestReal score guide","Yes: term definitions","Editorial and formula check"
"SCO-06","Understanding estimated scores","Reading explanations instead of chasing a higher number","Score literacy","Readers with a completed result","estimated IQ score explained","percentile meaning|accuracy|score interpretation","Score guide","Beginner","Learn","Use the site's transparent model and keep the number in context. Focus the article on “Reading explanations instead of chasing a higher number” and include an original example or check.","/score-guide","Open the IQTestReal score guide","Yes: term definitions","Editorial and formula check"
